ID,Name,address,phone,adult_pcs,child_pcs,Date
5933053283,艾美藥局,新竹縣竹北市中正西路８２號１樓,(03)5557760,1818,0,2020/10/20 01:50:48
5933060055,正安西藥局,新竹縣湖口鄉信全街41號,(035)991053,4252,398,2020/10/20 01:50:48
5933061463,如家藥師藥局,新竹縣湖口鄉工業區光復東路２４９號,(03)5972606,2590,396,2020/10/20 01:50:48
5933061543,中興藥局,新竹縣湖口鄉中興村中興２巷１８號,(03)6960881,1556,720,2020/10/20 01:50:48
5933061570,湖口藥局,新竹縣湖口鄉民族路４５號,(03)5991842,4278,534,2020/10/20 01:50:48
5933061589,安健藥局,新竹縣湖口鄉中正路１段２１０號,(03)5906685,4266,560,2020/10/20 01:50:48
5933061632,宏安藥局,新竹縣湖口鄉中山路二段１１０號,(035)996335,1845,633,2020/10/20 01:50:48
5933061650,勝利大藥局,新竹縣湖口鄉勝利村漢陽路１號,(03)5987520,844,637,2020/10/20 01:50:48
5933061678,仁和藥局,新竹縣湖口鄉仁和路１８２號,(03)5978541,3303,460,2020/10/20 01:50:48
5933061703,合康藥局湖口,新竹縣湖口鄉民族街１２６號,(03)6992365,4923,650,2020/10/20 01:50:48
5933061712,湖山藥局,新竹縣湖口鄉中山路二段１２７號,(03)5904999,3276,250,2020/10/20 01:50:48
5933080011,金樓藥局,新竹縣新豐鄉建興路二段８１４號,(035)571010,4176,1050,2020/10/20 01:50:48
5933080119,建仁藥局,新竹縣新豐鄉建興路一段１２２號,(03)5595850,0,430,2020/10/20 01:50:48
5933080137,春安藥局,新竹縣新豐鄉重興村新庄路２５８號,(03)5591875,3416,371,2020/10/20 01:50:48
5933081429,惠生藥局,新竹縣新豐鄉學府路113號,(03)5597110,4878,450,2020/10/20 01:50:48
5933081447,彰懷藥局,新竹縣新豐鄉新興路75號1樓,(03)5572995,4197,567,2020/10/20 01:50:48
5933081474,立人藥局,新竹縣新豐鄉建興路一段５７號,(03)5578217,1971,270,2020/10/20 01:50:48
5933081518,新揚藥局,新竹縣新豐鄉新興路２４３號,(03)5574342,4527,830,2020/10/20 01:50:48
5933081536,昌昌藥局,新竹縣新豐鄉新市路１９３號,(03)5598077,4520,583,2020/10/20 01:50:48
5933081572,泰安藥局,新竹縣新豐鄉泰安街９號１樓,(03)5577050,3969,970,2020/10/20 01:50:48
5933090071,新華方西藥局,新竹縣芎林鄉文山路515號,(03)5926352,3096,200,2020/10/20 01:50:48
5933101088,寶唄藥局,新竹縣寶山鄉雙溪村雙豐路１６號,(03)5205028,3266,751,2020/10/20 01:50:48
